Google,2023-12-07 22:50:17.036612,"[-0.1614971   0.274983    0.11452684  0.01232441  0.09089602 -0.49497217
  0.12573014  0.88558364 -0.2744385  -0.41327068  0.16706799 -0.5641895
 -0.00710972  0.27061528  0.04593107 -0.29125056  0.39747706 -0.26036522
 -0.21313368 -0.9956199   0.18942152 -0.01852543  0.3335244  -0.20899048
 -0.0487829  -0.02208426 -0.3501698   0.0921196  -0.1435784   0.2030867
  0.5084566  -0.03049949  0.3297803  -0.432797   -0.22099777  0.46707737
  0.34137088 -0.2927132  -0.3027477  -0.28171986  0.06273488 -0.20010802
 -0.2103779  -0.03084894  0.14502266 -0.21107364 -0.23965976  0.00203896
  0.18237321  0.25928438  0.19417414 -0.26265177 -0.1550529  -0.07216939
 -0.17589247  0.01646982  0.29476357 -0.04907987 -0.05729934  0.17014982
  0.02308445 -0.17912254  0.3027267  -0.06053035 -0.5022011   0.4598187
  0.0732327   0.17768984 -0.5767531   0.28532723 -0.04242527  0.27274603
  0.42054367  0.09627733  0.25759348  0.11286701  0.2376428  -0.03832011
 -0.22706367  0.05800364 -0.38897645  0.0083859  -0.23045196  0.4440011
 -0.2358533  -0.21917802  0.18984339  0.1196531   0.43261617  0.22950305
  0.3252271   0.26420337  0.10461177  0.00372703  0.6872873   0.14285925
  0.262528   -0.25514486  0.27466387 -0.11717077]"
GitHub: Let’s build from here · GitHub,2023-12-07 22:50:51.364032,"[-1.0048331e+00  3.4720266e-01 -4.3440121e-01  1.1642796e+00
 -3.5190326e-01 -1.0004519e+00  1.6069709e-01 -5.5955619e-01
 -1.4244891e+00 -2.2364059e-02  4.9653843e-02 -7.7406007e-01
 -1.2844318e+00  6.6717124e-01  5.1786911e-01 -6.9627947e-01
 -6.6926891e-01  5.1138341e-01  7.4971724e-01 -2.1205337e+00
  3.8650316e-01 -7.8509688e-02  1.7896889e+00  1.9554484e+00
 -5.9290844e-01  8.2064307e-01  1.3178067e+00  4.2873931e-01
 -1.7606244e+00  9.3818462e-01  1.5732113e+00  6.8594851e-02
  3.5812596e-03 -9.0566039e-01  6.6742921e-01  2.9802179e-01
 -8.6787809e-03  3.0293856e-02  2.0106628e-03 -9.2968822e-01
  1.1845838e+00 -2.1511457e+00 -8.7698555e-01 -1.2134313e-01
  5.2295232e-01 -4.1553038e-01 -1.3301253e+00  2.3095724e-01
  1.3454320e+00 -2.7692106e-01  1.2785897e-01 -4.3249238e-01
  1.6575376e+00  1.8390336e+00 -7.1707666e-01 -4.1941006e-02
 -6.1339045e-01 -1.8116928e+00 -2.5896568e+00 -6.7120957e-01
  1.1645786e+00 -1.2692402e-01 -7.0441857e-02  1.7152481e-01
  6.3338101e-01  6.3924885e-01 -4.0631691e-01  1.7931046e+00
 -1.0773932e+00 -5.5394515e-02 -5.2915115e-02  1.5207130e+00
  6.1583412e-01 -9.8310190e-01  7.3408520e-01  1.9155703e+00
  6.8307000e-01  1.3165063e+00  1.2438833e+00 -1.3553519e+00
 -1.3741824e-01 -2.3004527e+00 -1.0097352e+00  1.8928576e-02
 -1.2888423e+00 -7.5400561e-01  1.0833076e+00  1.4128182e+00
  7.7490914e-01  3.3487284e-01  7.7550942e-01  1.0247966e+00
 -7.4164170e-01  1.0593344e+00  1.3454267e+00  5.0187892e-01
  2.7430466e-01 -8.2075506e-01  7.6227897e-01 -1.0094416e-01]"
Google,2023-12-07 22:50:51.424578,"[-0.20890164  0.48815328  0.01837911  0.05162702  0.02712822 -0.5885049
  0.22704434  0.86042887 -0.44854707 -0.3092742  -0.00747206 -0.6216752
  0.11267402  0.24007483  0.22593735 -0.21483369  0.57396674 -0.15531369
 -0.16240878 -1.0105792   0.2232867   0.06509077  0.47988927 -0.05975069
 -0.02013393  0.08561367 -0.369406    0.04035436 -0.37798685  0.32760614
  0.61802435 -0.16705377  0.25021195 -0.43090665 -0.18515529  0.60772365
  0.37712973 -0.18971448 -0.2731708  -0.4061655   0.08305528 -0.34646788
 -0.31248832  0.07634157  0.16939595 -0.1562151  -0.29454243 -0.07723986
  0.19520117  0.32673293  0.23693736 -0.36560586 -0.22891131 -0.11221437
 -0.29376212  0.1063183   0.24736497 -0.04148772 -0.2204731  -0.02510002
 -0.01053078 -0.07898007  0.34987265  0.06880784 -0.45252773  0.58984435
  0.20174289  0.28570056 -0.5217762   0.35440645  0.02915647  0.41502464
  0.3624661   0.0983502   0.40628088  0.25741565  0.09135536  0.12942123
 -0.21651386  0.01185361 -0.4775965  -0.08082148 -0.22450681  0.51438177
 -0.15877387 -0.24491422  0.20299055  0.25660244  0.5503327   0.23799369
  0.56043744  0.18003467  0.11230803 -0.1485297   0.84172696  0.2276498
  0.41562444 -0.45185563  0.21207456 -0.12307607]"
YouTube,2023-12-07 22:50:52.397161,"[-0.09698777  0.08220813  0.37943912 -0.28318098 -0.79334277 -0.19793828
  0.6988264   0.16785093 -0.2351916  -0.27444005  0.13164152 -0.10396142
  0.10935272 -0.7860716  -0.10678951  0.46812537 -0.37269756  0.2582323
 -0.14969161 -0.35080546 -0.86730397  0.01542931 -0.353266   -0.09262932
 -0.5330324   0.14092912 -0.09668372 -1.0712835  -0.2522882  -0.01319846
 -0.27530006 -0.08460508  0.7527493   0.14333428  0.13597366  0.34435382
  0.33425996 -0.05919303 -0.9203959   0.11476647 -0.69591403  0.05219882
  0.34991494  0.68823856  0.6041148  -1.438869    0.7121167  -0.06026259
  0.10356342  0.03675565  0.19306748  0.3490993   0.33937934 -0.27431792
  0.14089437 -0.20966159 -0.24172962  0.93527657  0.40337545 -0.2789787
  0.41090384  0.04393622 -0.14427795  0.19718488 -0.400696   -0.09809578
 -0.5396106   0.21102731 -0.21587236  0.08624377 -0.32192484  0.09677497
  0.06532203  0.23458818  0.23386522  1.1432527  -0.5241203  -0.06694951
 -0.130196    0.46653715  0.3281297   0.52893364 -0.16090295 -0.09198891
  0.5649139   0.42487094 -0.30742186  0.6198473   0.6201154   0.0725897
  0.02744705 -0.38202533 -0.21504256  0.37878853  0.66584533 -0.1137325
  0.6248342  -0.15515746  0.40850943 -1.1301253 ]"
Explore photos and videos on Instagram,2023-12-07 22:50:52.912536,"[-0.10702403  0.25406528 -0.3262362   0.12151133  0.30545124  0.07303984
  0.17806596  0.02536339 -0.07442197  0.09101568 -0.15259999  0.10951242
  0.42452684  0.11117125  0.04961232 -0.10323397  0.2565288  -0.2682044
  0.14746834  0.01662121  0.03779466  0.20726828  0.1079903  -0.22507301
 -0.15993217 -0.2846427  -0.28794333  0.02322218 -0.30934712  0.02413389
  0.23752244 -0.03102595 -0.24816746 -0.02962637 -0.21673097  0.05792027
 -0.13876998  0.15528695 -0.04458748 -0.17926146 -0.19575863  0.30076432
 -0.06477644 -0.3183512  -0.12109422 -0.10265849 -0.03582577 -0.17046455
  0.22180705 -0.00429153  0.07732637 -0.19455916 -0.01050796 -0.17216316
  0.04633338 -0.10333425  0.23143713  0.09144295 -0.31262982  0.01289635
  0.08811145 -0.24190919 -0.07992508  0.07541338 -0.20150506 -0.13765691
 -0.3123658  -0.37362257 -0.02978653  0.10329251  0.13521104  0.02472294
  0.11571651 -0.1632902   0.00549067 -0.4317166   0.08965789 -0.06197527
 -0.20398732 -0.04884001  0.00271995  0.07208108 -0.23005661  0.15706299
 -0.10491312 -0.15459879 -0.22190778  0.36525315  0.10208089  0.12635146
  0.38388962  0.02597078 -0.06831074 -0.2287305  -0.11936481 -0.06663232
  0.02751729  0.10053137  0.1064456  -0.29597262]"
‎Bard - Chat Based AI Tool from Google,2023-12-07 22:50:53.926976,"[-0.41839412 -1.753028    0.04173497 -1.1406844   1.398812    0.48056567
  0.01194862  2.4209063  -0.45866194 -2.2379804  -1.6688032  -1.7370504
 -2.1531978   1.4871061  -1.3116078  -0.6584004   0.20499915 -0.7538118
  1.7116517  -1.0880165   2.1733148   0.6453123   4.0909123   0.64025974
  2.0091095   3.0823114   0.47352138  1.3343763   0.63916326  1.4168568
  0.6728465  -0.16716185  0.39245152 -0.7827922   0.58482254 -0.32048354
 -0.89817595 -0.09996325  0.9083055  -0.03392137  0.2646684   0.37981078
  0.19585654 -1.2068043  -1.5369447   1.0570506   0.6860404  -1.9279367
  0.13112393 -0.6473663   1.5184735  -2.4207141  -0.78711444  0.03814751
  0.55163306 -0.7849087   0.9812154   0.959188    0.06255692  1.2945888
 -3.0397797  -0.22296533 -0.27345037  2.2928872  -0.3071707   0.43619007
 -0.413973   -0.6107883  -0.94604194  1.7708793  -0.24755089 -0.29051572
  0.9984199  -0.6332585  -0.802652   -2.3376083   0.18081138 -0.9982006
  2.200709   -0.28639284 -1.9815475   0.6984752  -0.783128    1.0114015
 -1.5549086  -0.44923705  0.72595483 -0.20555064 -0.37785375 -0.4260474
  0.968489   -0.6488783   1.5071553  -2.0687258  -0.58520967  2.5480871
  1.793821   -2.058434   -1.9719367   1.8769522 ]"
What are tokens and how to count them? | OpenAI Help Center,2023-12-07 22:50:54.064807,"[-1.99476898e-01  5.55098094e-02  6.94562793e-02  1.71736866e-01
  4.73598242e-02 -4.75947708e-02  1.86342791e-01  2.05802187e-01
 -1.33891106e-01 -7.29065016e-02 -9.93907601e-02 -1.86996743e-01
 -9.05180126e-02  1.78011227e-02 -1.39536345e-02 -1.92103684e-02
  4.85664457e-02 -4.32582088e-02 -1.00183272e-04 -2.54301578e-01
  8.56054649e-02  2.23564431e-02  2.82890499e-01  3.33273411e-02
 -9.74677727e-02  1.17844082e-01 -4.27531786e-02  2.10625798e-01
 -6.38946295e-02  5.61780483e-03  7.46857077e-02  3.71424556e-02
  8.63422081e-02 -4.48788479e-02 -4.33485694e-02  6.03411347e-02
  9.56915841e-02 -1.12432823e-01 -2.62129933e-01  1.14608221e-01
  4.31469362e-03 -5.80325276e-02 -1.29668534e-01  2.11545099e-02
  1.10137258e-02 -1.45119444e-01  2.11011413e-02 -1.11647792e-01
  1.54383972e-01  3.44492421e-02 -2.20960807e-02 -1.70763806e-01
  9.29441769e-03  3.18906241e-04 -1.47286668e-01  1.46473637e-02
 -2.56546382e-02 -2.97618806e-02 -9.71460938e-02  1.25649616e-01
  3.03059947e-02 -1.23570621e-01  8.96635726e-02  8.36886913e-02
 -2.12242365e-01  8.77863318e-02  2.16507986e-01  2.34479904e-01
 -2.04547361e-01  1.84689850e-01  9.94643848e-03  1.79102179e-02
  1.59071282e-01 -5.65184020e-02  8.80919583e-03  9.73905176e-02
  1.93666130e-01 -1.41370639e-01 -1.92852989e-01 -2.99870521e-02
 -2.14130297e-01 -5.27072288e-02 -2.56295912e-02  1.37564451e-01
 -1.00513130e-01 -8.38192850e-02  1.28257796e-01  1.32770196e-01
 -1.02117635e-01  5.35621867e-02  1.67620882e-01 -8.70406535e-03
  1.92078371e-02 -1.88317850e-01  9.42640156e-02  1.75113797e-01
  2.01695532e-01 -3.07351537e-03  2.25091964e-01  1.47638813e-01]"
OpenAI · GitHub,2023-12-07 22:50:54.341275,"[ 1.44942904e+00  1.08342811e-01 -2.21186280e-01  4.31738079e-01
  4.09668446e-01 -1.23332095e+00  1.26989996e+00  2.13868394e-01
  4.16219234e-01  8.67746398e-02  5.49534857e-01 -5.26853681e-01
 -8.78322184e-01  8.05500329e-01  8.68642554e-02  3.06372523e-01
 -1.76391497e-01 -1.42500818e+00 -9.25198138e-01 -2.08532810e+00
 -5.46278954e-01  1.77083254e+00  3.29631418e-02  6.09101951e-01
 -6.03734136e-01  7.80893326e-01  7.75225639e-01  9.51665267e-02
 -3.72472435e-01 -9.51040089e-02  1.40238273e+00  4.46984798e-01
  7.37411261e-01  4.50847059e-01 -1.89288235e+00  8.77694786e-01
  6.58103168e-01  1.91967189e-02 -2.45194301e-01 -1.47799003e+00
  4.63409364e-01  5.54114580e-02 -9.34027076e-01 -1.26736856e+00
  3.13701600e-01  7.21449077e-01 -1.31604993e+00 -1.39882099e-02
  9.08601582e-01  1.72655082e+00 -1.94093573e+00 -6.45278469e-02
 -1.66067496e-01  7.40688860e-01 -8.72479498e-01 -3.44979651e-02
 -1.38435650e+00 -1.07545590e+00 -1.04602110e+00 -2.07097217e-01
  5.34251988e-01  1.29530454e+00 -5.75860739e-01  1.92567811e-03
 -1.29743919e-01  8.75451207e-01 -1.93804085e+00  6.16385341e-01
 -9.43149269e-01  1.22611344e-01 -2.62023956e-01  2.17798090e+00
 -6.01245403e-01 -1.18781054e+00  1.18587756e+00 -8.89526606e-01
  3.73269945e-01  6.18470907e-01 -4.20450978e-02 -1.94601905e+00
  1.30233085e+00 -4.48919803e-01 -2.93224192e+00  8.50128949e-01
  2.60559350e-01 -1.33120894e+00 -1.42296195e-01  8.30933332e-01
  1.79971248e-01 -1.57934248e+00 -4.86087739e-01  1.64829686e-01
  1.40024856e-01  7.37896562e-01  5.50769866e-01 -6.37870789e-01
 -5.74692845e-01 -1.57555830e+00 -1.37291998e-01 -6.27261221e-01]"
0dayreggaedancehall,2023-12-07 22:50:54.392614,"[-0.05328684  0.08009999 -0.07176947 -0.02098529  0.03294915 -0.19474497
  0.11826878  0.3548563  -0.12550913 -0.14270207  0.0040382  -0.26238078
 -0.07327764  0.12750353 -0.00209029 -0.08331104  0.06079996 -0.08186092
  0.02699686 -0.27204537  0.11974476 -0.00463774  0.11876407  0.01418497
 -0.17783763 -0.01482202 -0.03485182 -0.03363972 -0.07932125  0.04261432
  0.20611475 -0.03423205  0.02427045 -0.16472203 -0.04440631  0.1560366
  0.13012688 -0.0322038  -0.09443419 -0.13938463  0.04847608 -0.14797911
 -0.03734679  0.03976003  0.11408919 -0.00184742 -0.09403712 -0.06201433
  0.16328302  0.0160048   0.03077567 -0.10871337  0.06600213  0.0138753
 -0.0683191   0.02429014  0.11570308 -0.05189069 -0.0709333   0.02010183
  0.01775287 -0.00975714  0.07912117  0.00479282 -0.22265916  0.10527346
  0.04946232  0.17837107 -0.19706555  0.11725904 -0.05462974  0.10932225
  0.15661488  0.00724028  0.24499105  0.09369063  0.04151268  0.09313262
 -0.08975728  0.0034258  -0.12814039 -0.0066563  -0.09811476  0.18912548
 -0.12928548 -0.11497623  0.02109217  0.15324715  0.0566746   0.01251554
  0.19193769  0.06522713  0.04882539 -0.03986285  0.23871219  0.11279114
  0.12735707 -0.12509437  0.03264755  0.07775726]"
"How to send long text input to ChatGPT using the OpenAI API | victoria.dev
",2023-12-07 22:50:54.473832,"[-0.14867671  0.00449692 -0.06796191 -0.09488396  0.07065934 -0.5139159
  0.04138344  0.66300863 -0.04724837 -0.22657396 -0.45403212 -0.25873613
 -0.2071749   0.0610233  -0.0305367  -0.03517234 -0.03056465 -0.23498008
  0.13723554 -0.7954289   0.1367131   0.10437267  0.05292659 -0.17128651
 -0.03892976 -0.03220611 -0.25649843  0.12158788 -0.3099076   0.0114083
  0.398488    0.00446661  0.20406951 -0.17468022 -0.19595554  0.46550936
  0.10151911  0.06296348 -0.16627209 -0.18843955  0.06133023 -0.05546131
 -0.28928795 -0.19808267  0.30415797 -0.14869474 -0.06510666 -0.14724526
  0.09760176  0.31619114  0.2300517  -0.13651426 -0.05318205  0.24512516
 -0.03216769 -0.06828393  0.12876026 -0.09894596 -0.3276233   0.05298938
 -0.07800723  0.12808958  0.15552703 -0.0955391  -0.10556885  0.1086406
  0.14400628 -0.05360172 -0.2672998   0.26957867 -0.01916002  0.33284873
  0.378438   -0.07361659  0.29469833 -0.07957378 -0.02386026 -0.10751104
 -0.14882016 -0.1028276  -0.28387877 -0.01788757 -0.23463161  0.34073755
 -0.30272403  0.06393278  0.04535092  0.10807531  0.18249595  0.10251147
  0.36738405  0.11532649  0.1560598   0.0208269   0.48769814  0.0453522
 -0.3397593   0.04918538  0.12328177  0.14211442]"
